District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
2094,Marcola SD 79J,603,Marcola Elementary School,Tami White,Grade(s) K-6,E,Lane,231,*,1,14%,35%,90%,8,2,0,5%,Yes,35.5,Increase,13,25,83%,Increase,5%,80%,Low,43%,Decrease,2%,52%,46%,Increase,8%,43%,54%,Increase,7%,65%,,,,,,,,,,,,
2094,Marcola SD 79J,604,Mohawk High School,William Watkins,Grade(s) 7-12,H,Lane,145,*,1,12%,34%,90%,8,1,0,15%,No,14,Decrease,7,25,77%,Decrease,5%,80%,,,,,,,,,,,,,,84%,Decrease,10%,85%,45%,Decrease,41%,77%,91%,Decrease,1%,83%
2090,McKenzie SD 68,593,McKenzie Elementary School,Nathaniel Tompkins,Grade(s) K-8,E,Lane,137,*,1,21%,>95%,86%,10,5,0,39%,No,18,Increase,3,25,74%,Increase,9%,80%,Average,44%,Increase,3%,54%,37%,Increase,6%,42%,61%,Increase,11%,64%,,,,,,,,,,,,
2090,McKenzie SD 68,594,McKenzie High School,Nathaniel Tompkins,Grade(s) 9-12,H,Lane,59,*,1,19%,>95%,86%,4,0,0,21%,No,17,No Change,,25,66%,Decrease,17%,80%,,,,,,,,,,,,,,77%,Decrease,>18%,85%,90%,Increase,27%,77%,78%,Increase,2%,83%
2256,McMinnville SD 40,1228,Columbus Elementary School,Kathi Fowler,Grade(s) K-5,E,Yamhill,490,28%,2,14%,>95%,94%,29,15,1,13%,No,24,Increase,1,25,88%,No Change,,80%,Average,57%,Increase,8%,51%,60%,Increase,9%,44%,74%,Decrease,5%,65%,,,,,,,,,,,,
2256,McMinnville SD 40,1315,Duniway Middle School,Hilary  Brittan Lack,Grade(s) 6-8,M,Yamhill,748,26%,4,12%,>95%,94%,38,15,2,12%,Yes,24,Decrease,1,25,86%,Increase,3%,80%,High,64%,Increase,5%,56%,54%,Increase,4%,41%,76%,Increase,10%,61%,,,,,,,,,,,,
2256,McMinnville SD 40,2784,Grandhaven Elementary School,Marjorie Johnson,Grade(s) K-5,E,Yamhill,521,31%,5,12%,>95%,95%,31,16,1,14%,No,23,Increase,1,25,86%,Increase,3%,80%,Low,56%,Increase,2%,51%,59%,No Change,,44%,63%,Decrease,15%,65%,,,,,,,,,,,,
2256,McMinnville SD 40,1234,McMinnville High School,Tony Vicknair,Grade(s) 9-12,H,Yamhill,2029,27%,8,11%,>95%,96%,105,37,6,9%,Yes,25,No Change,,25,80%,Decrease,1%,80%,,,,,,,,,,,,,,89%,No Change,,85%,88%,Increase,1%,77%,91%,Increase,2%,83%
2256,McMinnville SD 40,1230,Memorial Elementary School,Dan Sheppard,Grade(s) K-5,E,Yamhill,617,9%,4,12%,>95%,92%,31,14,1,14%,No,25,Increase,1,25,92%,Increase,3%,80%,Low,67%,Decrease,1%,51%,67%,No Change,,44%,76%,No Change,,65%,,,,,,,,,,,,
2256,McMinnville SD 40,1231,Newby Elementary School,Davey Altree,Grade(s) K-5,E,Yamhill,526,35%,3,9%,>95%,97%,30,13,1,15%,Yes,22,Increase,1,25,88%,Increase,2%,80%,Average,50%,Decrease,2%,51%,50%,No Change,,44%,77%,Increase,13%,65%,,,,,,,,,,,,
2256,McMinnville SD 40,1233,Patton Middle School,Brian Crain,Grade(s) 6-8,M,Yamhill,803,32%,6,14%,>95%,97%,42,14,2,17%,No,24,No Change,,25,85%,Decrease,3%,80%,Average,51%,Decrease,4%,56%,42%,Decrease,2%,41%,78%,Increase,2%,61%,,,,,,,,,,,,
2256,McMinnville SD 40,4639,Sue Buel Elementary,Debbie Hilfiker,Grade(s) K-5,E,Yamhill,478,46%,4,9%,>95%,96%,29,17,1,21%,Yes,24,Increase,3,25,86%,Decrease,1%,80%,Average,48%,Increase,4%,51%,41%,Increase,6%,44%,66%,Decrease,13%,65%,,,,,,,,,,,,
2256,McMinnville SD 40,1232,Wascher Elementary School,Kourtney Ferrua,Grade(s) K-5,E,Yamhill,421,22%,2,11%,>95%,94%,23,12,1,13%,No,23,Increase,1,25,91%,Increase,4%,80%,High,61%,Increase,4%,51%,70%,Increase,10%,44%,82%,Increase,5%,65%,,,,,,,,,,,,
2048,Medford SD 549C,1350,Abraham Lincoln Elementary,Megan Young,Grade(s) K-6,E,Jackson,528,<5%,6,16%,35%,96%,24,13,0,19%,Yes,28,Increase,4,25,88%,Decrease,2%,80%,High,58%,Increase,1%,52%,56%,Increase,7%,43%,83%,Decrease,3%,65%,,,,,,,,,,,,
2048,Medford SD 549C,3554,Central Medford High School,Amy Herbst,Grade(s) 9-12,H,Jackson,233,18%,4,23%,>95%,96%,16,10,1,18%,No,14,Decrease,2,25,14%,Increase,2%,80%,,,,,,,,,,,,,,*,No Change,,85%,31%,Decrease,1%,77%,44%,Decrease,8%,83%
2048,Medford SD 549C,408,Griffin Creek Elementary School,Louis Dix,Grade(s) K-6,E,Jackson,574,6%,6,14%,>95%,92%,27,15,0,13%,No,24,Decrease,2,25,86%,Decrease,2%,80%,High,59%,Decrease,3%,52%,50%,Increase,1%,43%,75%,Increase,11%,65%,,,,,,,,,,,,
2048,Medford SD 549C,421,Hedrick Middle School,Beth Anderson,Grade(s) 6-8,M,Jackson,928,10%,11,11%,49%,93%,44,9,0,18%,No,25,Decrease,4,25,83%,Decrease,1%,80%,High,69%,No Change,,56%,50%,Decrease,1%,41%,73%,Decrease,3%,61%,,,,,,,,,,,,
2048,Medford SD 549C,409,Hoover Elementary School,Lynn Cataldo,Grade(s) K-6,E,Jackson,738,<5%,13,14%,30%,93%,31,16,0,16%,No,27,Decrease,1,25,86%,Decrease,2%,80%,High,76%,Increase,6%,52%,66%,Increase,2%,43%,93%,Increase,4%,65%,,,,,,,,,,,,
2048,Medford SD 549C,410,Howard Elementary School,Javier Del Rio,Grade(s) K-6,E,Jackson,439,27%,7,22%,>95%,93%,23,10,0,25%,No,24,No Change,,25,80%,Decrease,4%,80%,High,46%,Increase,8%,52%,36%,No Change,,43%,55%,Decrease,2%,65%,,,,,,,,,,,,
2048,Medford SD 549C,411,Jackson Elementary School,Marisa Poling,Grade(s) K-6,E,Jackson,412,36%,6,25%,>95%,97%,22,12,0,25%,No,21,Decrease,4,25,78%,Decrease,3%,80%,Low,38%,Increase,3%,52%,29%,Increase,7%,43%,43%,Decrease,5%,65%,,,,,,,,,,,,
2048,Medford SD 549C,412,Jacksonville Elementary School,Fred Kondziela,Grade(s) K-6,E,Jackson,426,*,2,14%,31%,88%,20,16,0,13%,Yes,26.5,Increase,1,25,80%,Decrease,5%,80%,High,72%,Decrease,2%,52%,66%,Increase,6%,43%,88%,Decrease,3%,65%,,,,,,,,,,,,
2048,Medford SD 549C,413,Jefferson Elementary School,Shelly Inman,Grade(s) K-6,E,Jackson,486,20%,2,14%,>95%,97%,23,13,0,12%,No,25,Decrease,1,25,83%,Decrease,4%,80%,High,57%,No Change,,52%,51%,Increase,5%,43%,82%,Increase,5%,65%,,,,,,,,,,,,
2048,Medford SD 549C,416,Kennedy Elementary School,Tom Ettel,Grade(s) K-6,E,Jackson,528,14%,11,20%,>95%,95%,28,16,0,18%,No,24,Decrease,1,25,83%,Increase,1%,80%,High,51%,Increase,7%,52%,36%,No Change,,43%,62%,Increase,15%,65%,,,,,,,,,,,,
2048,Medford SD 549C,5205,Kids Unlimited Academy,Jani Hale,Grade(s) K-7,E,Jackson,393,47%,4,10%,>95%,94%,26,4,1,37%,Yes,27,Increase,2,25,86%,Decrease,5%,80%,Average,47%,Increase,8%,53%,26%,Decrease,4%,43%,60%,Increase,27%,65%,,,,,,,,,,,,
2048,Medford SD 549C,4821,Logos Public Charter School,Sheryl Zimmerer,Grade(s) K-12,H,Jackson,967,<5%,4,10%,27%,51%,44,1,0,17%,No,14,Increase,5,25,>95%,No Change,,80%,,,,,,,,,,,,,,>95%,Increase,>12%,85%,87%,Decrease,4%,77%,97%,Increase,1%,83%
2048,Medford SD 549C,414,Lone Pine Elementary School,Gerry Flock,Grade(s) K-6,E,Jackson,608,<5%,8,16%,39%,92%,27,12,0,21%,Yes,25,Decrease,2,25,88%,Decrease,1%,80%,High,70%,Increase,8%,52%,63%,Increase,6%,43%,86%,Decrease,6%,65%,,,,,,,,,,,,
2048,Medford SD 549C,4593,Madrone Trail Public Charter School,Cori Royer,Grade(s) K-8,E,Jackson,232,*,3,12%,37%,57%,14,4,0,16%,Yes,23.5,No Change,,25,74%,Decrease,7%,80%,High,43%,Increase,6%,54%,29%,Increase,2%,42%,58%,Decrease,7%,64%,,,,,,,,,,,,
2048,Medford SD 549C,422,McLoughlin Middle School,Kelly Soter,Grade(s) 6-8,M,Jackson,812,22%,6,14%,>95%,96%,40,11,0,12%,No,26,No Change,,25,87%,No Change,,80%,Average,65%,Increase,4%,56%,44%,Increase,1%,41%,74%,No Change,,61%,,,,,,,,,,,,
2048,Medford SD 549C,424,North Medford High School,Dan Smith,Grade(s) 9-12,H,Jackson,1579,14%,18,9%,50%,96%,72,14,4,13%,No,27,No Change,,25,74%,Decrease,1%,80%,,,,,,,,,,,,,,>95%,Increase,>12%,85%,90%,Increase,6%,77%,90%,No Change,,83%
2048,Medford SD 549C,415,Oak Grove Elementary School,Elizabeth Landon,Grade(s) K-6,E,Jackson,524,21%,5,18%,>95%,98%,26,10,0,16%,No,25,No Change,,25,82%,Decrease,8%,80%,High,49%,Decrease,7%,52%,40%,Decrease,3%,43%,72%,Decrease,1%,65%,,,,,,,,,,,,
2048,Medford SD 549C,417,Roosevelt Elementary School,Kristi Anderson,Grade(s) K-6,E,Jackson,403,15%,10,23%,>95%,93%,21,12,0,26%,Yes,24,Increase,1,25,75%,Decrease,4%,80%,High,53%,Increase,6%,52%,42%,Decrease,2%,43%,42%,Decrease,29%,65%,,,,,,,,,,,,
2048,Medford SD 549C,418,Ruch Elementary School,Julie Barry,Grade(s) K-8,E,Jackson,198,*,3,11%,>95%,75%,11,3,0,23%,No,23,Decrease,2,25,92%,Increase,9%,80%,High,58%,Increase,4%,54%,42%,Increase,6%,42%,93%,Increase,21%,64%,,,,,,,,,,,,
2048,Medford SD 549C,423,South Medford High School,Donnie Frazier,Grade(s) 9-12,H,Jackson,1612,19%,12,9%,52%,96%,75,10,4,13%,Yes,26,Decrease,1,25,74%,Decrease,1%,80%,,,,,,,,,,,,,,>95%,Increase,>13%,85%,83%,Decrease,5%,77%,93%,Increase,3%,83%
2048,Medford SD 549C,5304,The Valley School of Southern Oregon,Amy Thuren,Grade(s) 6-8,M,Jackson,100,*,3,*,13%,88%,4,0,0,62%,Yes,3.5,Decrease,29,25,88%,Decrease,5%,80%,High,76%,Decrease,4%,56%,64%,Decrease,7%,41%,71%,Decrease,15%,61%,,,,,,,,,,,,
2048,Medford SD 549C,419,Washington Elementary School,Sallie Johnson,Grade(s) K-6,E,Jackson,397,29%,3,17%,>95%,96%,21,10,0,18%,No,21,Decrease,6,25,81%,No Change,,80%,High,34%,Decrease,1%,52%,21%,Increase,1%,43%,71%,Decrease,5%,65%,,,,,,,,,,,,
2048,Medford SD 549C,420,Wilson Elementary School,Aaron Luksich,Grade(s) K-6,E,Jackson,548,14%,9,18%,>95%,93%,26,14,0,21%,Yes,24,Decrease,3,25,75%,Decrease,3%,80%,Low,45%,Decrease,3%,52%,38%,Decrease,5%,43%,60%,Increase,3%,65%,,,,,,,,,,,,
2205,Milton-Freewater Unified SD 7,1057,Central Middle School,Tim Sprenger,Grade(s) 6-8,M,Umatilla,428,49%,4,16%,>95%,96%,22,10,0,15%,No,22,No Change,,25,78%,Increase,2%,80%,Average,42%,Increase,5%,56%,30%,Increase,11%,41%,61%,Increase,9%,61%,,,,,,,,,,,,
2205,Milton-Freewater Unified SD 7,5297,Ferndale Elementary School,Bruce Neil,Grade(s) 2-3,E,Umatilla,268,47%,3,13%,>95%,98%,18,12,0,14%,Yes,22,No Change,,25,87%,Increase,2%,80%,*,47%,Increase,17%,48%,41%,Increase,12%,47%,*,No Change,,,,,,,,,,,,,,
2205,Milton-Freewater Unified SD 7,5296,Freewater Elementary School,Donald Davis,Grade(s) 4-5,E,Umatilla,284,46%,4,16%,>95%,99%,18,14,0,16%,Yes,24,Increase,1,25,86%,Increase,2%,80%,High,33%,Decrease,11%,53%,32%,Decrease,1%,42%,61%,Decrease,14%,65%,,,,,,,,,,,,
2205,Milton-Freewater Unified SD 7,5295,Grove Elementary School,Ami Muilenburg,Grade(s) K-1,E,Umatilla,259,48%,2,12%,>95%,97%,17,15,0,28%,No,21.5,Decrease,1,25,77%,Increase,5%,80%,*,*,No Change,,,*,No Change,,,*,No Change,,,,,,,,,,,,,,
2205,Milton-Freewater Unified SD 7,1064,McLoughlin High School,Mindi Vaughan,Grade(s) 9-12,H,Umatilla,496,47%,6,10%,>95%,96%,28,10,1,21%,No,19,Decrease,1,25,72%,Decrease,2%,80%,,,,,,,,,,,,,,92%,Increase,6%,85%,81%,Increase,5%,77%,85%,Increase,3%,83%
2249,Mitchell SD 55,5150,Insight School of Oregon Painted Hills,Tim Jalkanen,Grade(s) 7-12,H,Wheeler,463,<5%,2,14%,50%,89%,12,0,1,34%,Yes,45,Increase,16,25,41%,Decrease,7%,80%,,,,,,,,,,,,,,24%,Decrease,11%,85%,17%,Increase,5%,77%,28%,No Change,,83%
2249,Mitchell SD 55,3404,Mitchell School,Vince Swagerty,Grade(s) K-12,H,Wheeler,51,*,1,*,41%,96%,6,2,0,35%,Yes,7,No Change,,25,84%,Decrease,>11%,80%,,,,,,,,,,,,,,*,No Change,,85%,100%,Increase,33%,77%,67%,Decrease,11%,83%
1925,Molalla River SD 35,93,Clarkes Elementary School,Larry Conley,Grade(s) K-5,E,Clackamas,168,*,2,17%,*,92%,8,4,1,11%,No,26,Increase,3,25,86%,Increase,3%,80%,Average,66%,Increase,5%,51%,51%,Decrease,13%,44%,88%,Increase,3%,65%,,,,,,,,,,,,
1925,Molalla River SD 35,94,Molalla Elementary School,Linda Brecht-Kwirant,Grade(s) K-5,E,Clackamas,421,24%,3,16%,*,94%,24,8,1,8%,No,25,No Change,,25,78%,Decrease,7%,80%,High,39%,Increase,8%,51%,36%,Increase,3%,44%,89%,Increase,18%,65%,,,,,,,,,,,,
1925,Molalla River SD 35,142,Molalla High School,Brad Berzinski,Grade(s) 9-12,H,Clackamas,695,15%,10,16%,*,96%,34,7,2,11%,Yes,26,Decrease,2,25,66%,Decrease,6%,80%,,,,,,,,,,,,,,>95%,Increase,>10%,85%,80%,Increase,7%,77%,80%,Decrease,3%,83%
1925,Molalla River SD 35,4745,Molalla River Academy,Shelly Urben,Grade(s) K-8,E,Clackamas,210,*,2,10%,*,87%,11,6,1,29%,No,24,Decrease,1,25,88%,Increase,1%,80%,Average,44%,Decrease,4%,54%,48%,No Change,,42%,49%,Decrease,19%,64%,,,,,,,,,,,,
1925,Molalla River SD 35,95,Molalla River Middle School,Randy Dalton,Grade(s) 6-8,M,Clackamas,512,16%,8,19%,*,96%,26,5,1,17%,Yes,26,No Change,,25,78%,Increase,3%,80%,Average,56%,Increase,2%,56%,33%,Increase,3%,41%,67%,Increase,2%,61%,,,,,,,,,,,,
1925,Molalla River SD 35,121,Mulino Elementary School,Mario Alba,Grade(s) K-5,E,Clackamas,292,5%,5,8%,*,91%,16,2,1,11%,No,24.5,Increase,1,25,84%,Decrease,4%,80%,Average,55%,Increase,6%,51%,50%,No Change,,44%,71%,Decrease,3%,65%,,,,,,,,,,,,
1925,Molalla River SD 35,4818,Renaissance Public Academy,Nicole Hans,Grade(s) 4-12,H,Clackamas,113,13%,3,*,*,70%,9,1,0,63%,Yes,14.5,Decrease,3,25,76%,Decrease,8%,80%,,,,,,,,,,,,,,73%,Decrease,8%,85%,100%,Increase,29%,77%,71%,Increase,71%,83%
1925,Molalla River SD 35,128,Rural Dell Elementary School,Larry Conley,Grade(s) K-5,E,Clackamas,239,7%,5,10%,*,91%,13,2,1,21%,No,24.5,Increase,2,25,75%,Decrease,8%,80%,Average,57%,Increase,15%,51%,32%,Decrease,5%,44%,68%,Increase,6%,65%,,,,,,,,,,,,
1898,Monroe SD 1J,1321,Monroe Grade School,Kathi Holvey,Grade(s) K-8,E,Benton,282,15%,3,16%,47%,97%,17,14,0,26%,No,16,Decrease,6,25,72%,No Change,,80%,Average,36%,Decrease,4%,54%,20%,Decrease,15%,42%,60%,Decrease,7%,64%,,,,,,,,,,,,
1898,Monroe SD 1J,43,Monroe High School,Beau Sisneros,Grade(s) 9-12,H,Benton,126,17%,4,15%,32%,95%,10,1,1,14%,Yes,10.5,Decrease,3,25,70%,Decrease,6%,80%,,,,,,,,,,,,,,91%,Increase,3%,85%,75%,Decrease,6%,77%,87%,Increase,4%,83%
2010,Monument SD 8,3350,Monument School,Earl Pettit,Grade(s) K-12,H,Grant,47,*,1,*,53%,90%,6,1,0,20%,Yes,5,Decrease,4,25,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,86%,Decrease,14%,77%,100%,No Change,,83%
2147,Morrow SD 1,813,A C Houghton Elementary School,Tracey Johnson,Grade(s) K-3,E,Morrow,281,38%,4,18%,>95%,96%,16,12,1,24%,No,23,Increase,1,25,86%,Decrease,1%,80%,*,42%,Increase,15%,48%,28%,Decrease,3%,47%,*,No Change,,,,,,,,,,,,,,
2147,Morrow SD 1,815,Heppner Elementary School,Dieter Waite,Grade(s) K-6,E,Morrow,169,*,3,15%,44%,97%,9,8,0,11%,Yes,26,No Change,,25,82%,No Change,,80%,Average,50%,Increase,3%,52%,38%,Increase,3%,43%,71%,Increase,6%,65%,,,,,,,,,,,,
2147,Morrow SD 1,818,Heppner Junior/Senior High School,Matt Combe,Grade(s) 7-12,H,Morrow,171,*,2,16%,35%,96%,11,4,0,0%,No,13.5,No Change,,25,83%,Decrease,9%,80%,,,,,,,,,,,,,,93%,Increase,1%,85%,88%,Decrease,8%,77%,100%,Increase,11%,83%
2147,Morrow SD 1,4048,Irrigon Elementary School,Erin Stocker,Grade(s) 4-6,E,Morrow,207,39%,2,19%,78%,100%,13,7,1,20%,No,23,Decrease,2,25,86%,Increase,1%,80%,Low,31%,Increase,10%,53%,21%,Increase,1%,41%,39%,Increase,12%,65%,,,,,,,,,,,,
2147,Morrow SD 1,817,Irrigon Junior/Senior High School,Ryan Keefauver,Grade(s) 7-12,H,Morrow,340,37%,2,14%,73%,97%,21,7,1,22%,No,18,No Change,,25,81%,Decrease,4%,80%,,,,,,,,,,,,,,>95%,Increase,>7%,85%,80%,Decrease,9%,77%,89%,No Change,,83%
2147,Morrow SD 1,820,Riverside Junior/Senior High School,David Norton,Grade(s) 7-12,H,Morrow,401,64%,5,11%,73%,99%,22,9,1,13%,Yes,17,No Change,,25,76%,Decrease,8%,80%,,,,,,,,,,,,,,91%,Decrease,2%,85%,86%,Increase,4%,77%,90%,Increase,8%,83%
2147,Morrow SD 1,814,Sam Boardman Elementary School,Brandon Hammond,Grade(s) K-3,E,Morrow,353,56%,4,16%,>95%,94%,21,16,1,29%,No,23,Increase,1,25,78%,Increase,5%,80%,*,25%,Decrease,5%,48%,25%,Decrease,5%,47%,*,No Change,,,,,,,,,,,,,,
2147,Morrow SD 1,4047,Windy River Elementary School,Kyle Aurdahl,Grade(s) 4-6,E,Morrow,259,67%,5,12%,81%,98%,15,8,1,29%,No,24,No Change,,25,86%,Increase,1%,80%,Average,30%,Increase,2%,53%,21%,Increase,2%,41%,33%,Decrease,2%,65%,,,,,,,,,,,,
2145,Mt Angel SD 91,794,John F Kennedy High School,Dale Pedersen,Grade(s) 9-12,H,Marion,185,32%,6,13%,58%,97%,15,4,1,14%,No,15,Decrease,3,25,72%,Decrease,3%,80%,,,,,,,,,,,,,,89%,Increase,6%,85%,76%,Decrease,15%,77%,93%,Increase,7%,83%
2145,Mt Angel SD 91,792,Mt Angel Middle School,Jared Tiecke,Grade(s) 6-8,M,Marion,174,29%,3,13%,57%,93%,10,3,1,7%,No,22,Increase,3,25,75%,Decrease,9%,80%,Average,57%,Decrease,1%,56%,36%,Decrease,3%,41%,74%,Increase,18%,61%,,,,,,,,,,,,
2145,Mt Angel SD 91,793,St Marys Public School,Katie Voss,Grade(s) K-5,E,Marion,380,26%,4,10%,52%,95%,21,6,1,11%,Yes,23,No Change,,25,85%,Increase,4%,80%,High,46%,Decrease,2%,51%,45%,Increase,5%,44%,62%,Increase,6%,65%,,,,,,,,,,,,
1968,Myrtle Point SD 41,214,Myrtle Crest School,Allyson Blackman,Grade(s) K-6,E,Coos,307,*,1,14%,>95%,98%,18,4,0,20%,Yes,21,Decrease,2,25,74%,Increase,2%,80%,Average,36%,Increase,7%,52%,30%,Increase,9%,43%,81%,Increase,13%,65%,,,,,,,,,,,,
1968,Myrtle Point SD 41,215,Myrtle Point High School,Kayli Fandel,Grade(s) 7-12,H,Coos,212,5%,2,17%,>95%,97%,17,3,1,9%,Yes,14,No Change,,25,67%,Decrease,6%,80%,,,,,,,,,,,,,,71%,Decrease,2%,85%,66%,Increase,14%,77%,63%,Decrease,15%,83%
2198,Neah-Kah-Nie SD 56,1020,Garibaldi Elementary School,Janmarie Nugent,Grade(s) K-5,E,Tillamook,182,7%,4,18%,62%,94%,11,10,1,23%,No,20,Decrease,2,25,80%,Decrease,1%,80%,Average,42%,Increase,6%,51%,32%,Increase,1%,44%,40%,Decrease,25%,65%,,,,,,,,,,,,
2198,Neah-Kah-Nie SD 56,1022,Neah-Kah-Nie High School,Heidi Buckmaster,Grade(s) 9-12,H,Tillamook,210,*,4,13%,42%,91%,15,10,1,18%,No,18,No Change,,25,72%,Decrease,4%,80%,,,,,,,,,,,,,,81%,Increase,1%,85%,90%,No Change,,77%,90%,Decrease,7%,83%
2198,Neah-Kah-Nie SD 56,4481,Neah-Kah-Nie Middle School,Leo Lawyer,Grade(s) 6-8,M,Tillamook,192,6%,3,20%,52%,91%,12,6,1,21%,No,23,Increase,3,25,86%,Decrease,>9%,80%,High,66%,Decrease,1%,56%,48%,Decrease,7%,41%,81%,No Change,,61%,,,,,,,,,,,,
2198,Neah-Kah-Nie SD 56,1021,Nehalem Elementary School,Kristi Woika,Grade(s) K-5,E,Tillamook,188,7%,2,13%,53%,88%,11,8,1,12%,No,22,No Change,,25,80%,Decrease,1%,80%,Average,59%,Decrease,11%,51%,52%,Decrease,14%,44%,46%,Decrease,26%,65%,,,,,,,,,,,,
2199,Nestucca Valley SD 101J,1023,Nestucca High School,Ken Richwine,Grade(s) 7-12,H,Tillamook,220,7%,2,16%,64%,96%,13,6,0,21%,Yes,17,No Change,,25,72%,No Change,,80%,,,,,,,,,,,,,,84%,Increase,8%,85%,84%,Decrease,2%,77%,91%,Decrease,2%,83%
2199,Nestucca Valley SD 101J,1019,Nestucca Valley Elementary,Misty Wharton,Grade(s) K-6,E,Tillamook,243,15%,2,14%,73%,94%,11,5,0,22%,Yes,25,Increase,3,25,84%,Increase,7%,80%,Average,50%,Decrease,3%,52%,39%,Decrease,3%,43%,41%,Decrease,5%,65%,,,,,,,,,,,,
2254,Newberg SD 29J,1335,Antonia Crater Elementary School,Michele Paton,Grade(s) K-5,E,Yamhill,461,5%,10,13%,30%,93%,23,4,1,8%,Yes,25,Decrease,1,25,90%,Decrease,2%,80%,Average,66%,No Change,,51%,62%,No Change,,44%,60%,Decrease,21%,65%,,,,,,,,,,,,
2254,Newberg SD 29J,1336,Chehalem Valley Middle School,Karen Pugsley,Grade(s) 6-8,M,Yamhill,611,11%,7,17%,37%,95%,30,11,2,12%,No,26,Increase,2,25,83%,No Change,,80%,Low,49%,Decrease,5%,56%,37%,Decrease,4%,41%,60%,Decrease,6%,61%,,,,,,,,,,,,
2254,Newberg SD 29J,1216,Dundee Elementary School,Reed Langdon,Grade(s) K-5,E,Yamhill,273,8%,4,21%,36%,96%,19,9,3,23%,No,23.5,Increase,1,25,86%,Decrease,>9%,80%,Average,62%,Increase,4%,51%,55%,Increase,2%,44%,83%,Increase,10%,65%,,,,,,,,,,,,
2254,Newberg SD 29J,1217,Edwards Elementary School,Scott Murphy,Grade(s) K-5,E,Yamhill,533,25%,2,11%,>95%,94%,33,11,1,14%,No,24,Decrease,1,25,88%,Increase,3%,80%,High,52%,No Change,,51%,47%,Increase,1%,44%,62%,Decrease,3%,65%,,,,,,,,,,,,
2254,Newberg SD 29J,1218,Ewing Young Elementary School,Kevin Milner,Grade(s) K-5,E,Yamhill,207,*,4,14%,26%,93%,12,1,1,19%,No,25,Decrease,6,25,91%,Decrease,3%,80%,High,63%,Decrease,2%,51%,65%,Increase,5%,44%,85%,Decrease,4%,65%,,,,,,,,,,,,
2254,Newberg SD 29J,4342,Joan Austin Elementary School,Alaina Carter,Grade(s) K-5,E,Yamhill,347,11%,7,15%,>95%,91%,23,6,1,14%,Yes,23,Decrease,1,25,85%,Decrease,2%,80%,Average,55%,No Change,,51%,47%,No Change,,44%,85%,Increase,27%,65%,,,,,,,,,,,,
2254,Newberg SD 29J,1219,Mabel Rush Elementary School,Troy Fisher,Grade(s) K-5,E,Yamhill,500,14%,12,14%,39%,95%,28,7,1,16%,Yes,26,Increase,1,25,91%,No Change,,80%,Average,49%,Decrease,1%,51%,47%,Increase,2%,44%,70%,Decrease,4%,65%,,,,,,,,,,,,
2254,Newberg SD 29J,1221,Mountain View Middle School,Terry McElligott,Grade(s) 6-8,M,Yamhill,500,20%,8,13%,49%,94%,25,4,3,22%,Yes,24.5,Decrease,3,25,80%,Decrease,4%,80%,Average,57%,Increase,7%,56%,40%,Increase,8%,41%,68%,Decrease,2%,61%,,,,,,,,,,,,
2254,Newberg SD 29J,1222,Newberg Senior High School,Tami Erion,Grade(s) 9-12,H,Yamhill,1578,15%,14,14%,38%,97%,77,15,5,14%,Yes,26,Decrease,1,25,73%,Decrease,3%,80%,,,,,,,,,,,,,,79%,Decrease,5%,85%,84%,Increase,5%,77%,86%,Increase,2%,83%
1966,North Bend SD 13,204,Hillcrest Elementary School,Jon Davison,Grade(s) K-5,E,Coos,454,6%,9,15%,60%,96%,22,17,0,7%,No,24,Decrease,2,25,88%,Increase,1%,80%,High,65%,Increase,1%,51%,64%,Increase,6%,44%,87%,Increase,9%,65%,,,,,,,,,,,,
1966,North Bend SD 13,205,North Bay Elementary School,Bruce Martin,Grade(s) K-5,E,Coos,490,*,1,14%,63%,94%,28,20,0,16%,Yes,23.5,No Change,,25,83%,Increase,2%,80%,Average,57%,Increase,5%,51%,46%,Increase,8%,44%,75%,Decrease,4%,65%,,,,,,,,,,,,
1966,North Bend SD 13,208,North Bend Middle School,Ralph Brooks,Grade(s) 6-8,M,Coos,570,<5%,9,12%,48%,95%,24,10,0,8%,Yes,28,Decrease,1,25,86%,Increase,5%,80%,Average,55%,Increase,3%,56%,42%,Decrease,4%,41%,51%,Decrease,15%,61%,,,,,,,,,,,,
